ID	Name	URL	Regular Price, RUB	Sale Price, RUB	Brand Name
596292269	Чай черный Richman английский завтрак, 40г	https://online.metro-cc.ru/products/40g-chay-chernyy-richman-angliyskiy-zavtrak	159	129	RICHMAN
188194	Чай Greenfield Kenyan Sunrise черный листовой, 200г	https://online.metro-cc.ru/products/greenfield-chernyj-kenyan-sunrise-200g	289		GREENFIELD
203574	Чай Maitre de The Кения листовой, 100г	https://online.metro-cc.ru/products/maitre-keniya-100g	369		MAITRE DE THE
473943965	RIOBA Чай зеленый с мелиссой (2г x 25шт), 50г	https://online.metro-cc.ru/products/25h2g-chay-rioba-zelenyy-s-melissoy	114		RIOBA
259419	Чай Basilur Остров зеленый листовой, 100г	https://online.metro-cc.ru/products/basilur-zelenyj-ostrov-cejlon-100g	369		BASILUR
313076313	Чай Азерчай черный байховый с бергамотом (2г x 25шт), 50г	https://online.metro-cc.ru/products/25h2g-chay-azerchay-chyornyy-bayhovyy-s-bergamotom-paket	82.9	69.9	АЗЕРЧАЙ
607382165	Чай черный Akbar чабрец пакетированный (1.5г x 100шт), 150г	https://online.metro-cc.ru/products/100shth15g-chay-chyornyy-akbar-chabrets-paketirovannyy	283	219	AKBAR
615233	Напиток чайный Nature's Own Factory Полезный гречишный с манго, 100г	https://online.metro-cc.ru/products/napitok-grechishnyj-s-mango-nature-039s-own-factory-100g	599	539	NATURE'S OWN FACTORY
596351742	Чай Herbarus травяной Спокойствие-баланс (1.8г х 24шт), 43г	https://online.metro-cc.ru/products/24shth18g-chaynyy-napitok-herbarus-spokoystviebalans	226		HERBARUS
86978	Чай Ahmad Tea Jasmine Green Tea зеленый байховый мелкий с жасмином (2г х 100шт), 200г	https://online.metro-cc.ru/products/ahmad-tea-zelenyj-bajhovyj-melkij-s-zhasminom-jasmine-green-tea-100-pak	529		AHMAD TEA
607465511	Чай черный Newby Чабрец пакетированный (2г x 25шт), 50г	https://online.metro-cc.ru/products/chay-chernyy-newby-chabrets-paketirovannyy-2g-x-25sht-50g	1029		NEWBY
473944135	RIOBA Напиток чайный каркаде (1.8г x 25шт), 45г	https://online.metro-cc.ru/products/25x18g-chaynyy-napitok-rioba-karkade	114		RIOBA
478481	Чай Althaus Royal Earl Grey ароматизированный (1.75г х 20шт), 35г	https://online.metro-cc.ru/products/althaus-royal-earl-grey-v-paketikah-20-175g	429		ALTHAUS
607377337	Напиток чайный Richard Immune пакетированный (1.5г x 20шт), 30г	https://online.metro-cc.ru/products/20shth15g-chaynyy-nap-richard-immune-paketirovannyy	113	99.9	RICHARD
607385126	Чай зеленый Basilur Винтажные цветы Тропическая страсть листовой, 75г	https://online.metro-cc.ru/products/chay-zelenyy-basilur-vintazhnye-tsvety-tropicheskaya-strast-listovoy-75g	319	199	BASILUR
625592	Чай Tess Pleasure черный с шиповником и яблоком (1.5г x 25шт), 38г	https://online.metro-cc.ru/products/25h15g-tess-pleasure-paketirovannyj	109		TESS
8910089	Чай Richard Royal Goji & Wild Strawberry ароматизированный (1.7г х 25шт), 42г	https://online.metro-cc.ru/products/chay-richard-godzhi-i-zemlyanika-paketirovannyy-25-x-17g	111	99.9	RICHARD
289691972	Чай Althaus Darjeeling черный пакетированный (1.75г x 20шт), 35г	https://online.metro-cc.ru/products/20h175g-chay-althaus-darjeeling-chernyy-paketirovannyy	429		ALTHAUS
624037	Напиток чайный Sonnentor Радуга хорошего настроения травяной, 50г	https://online.metro-cc.ru/products/travyanoj-raduga-horoshego-nastroeniya-sonnentor-50-g	499		SONNENTOR
259529	Чай Basilur Magic Nights листовой черный, 100г	https://online.metro-cc.ru/products/basilur-chernyj-magic-nights-100g	479		BASILUR
607379152	Чай черный Richard Royal Berries пакетированный (1.5г x 25шт), 38г	https://online.metro-cc.ru/products/25shth15g-chay-chyornyy-richard-royal-berries-paketirovannyy	113	94.9	RICHARD
94252	Чай Akbar Ceylon черный (2г х 100шт), 200г	https://online.metro-cc.ru/products/chernyj-akbar-ceylon-100h2g	262	229	AKBAR
223732	Чай Принцесса Нури Высокогорный черный (2г х 100шт), 200г	https://online.metro-cc.ru/products/princessa-nuri-chernyj-vysokogornyj-100x2g	229		ПРИНЦЕССА НУРИ
607378042	Чай зеленый Richard Digestive пакетированный (1.5г x 20шт), 30г	https://online.metro-cc.ru/products/20shth15g-chay-zelyonyy-richard-digestive-paketirovannyy	113	99.9	RICHARD
130688	Чай Ahmad Tea English Tea No.1 черный листовой с ароматом бергамота, 200г	https://online.metro-cc.ru/products/ahmad-tea-chernyj-listovoj-s-aromatom-bergamota-english-tea-no1-200g	379	299	AHMAD TEA
607847287	Чай зеленый Ahmad Tea Китайский (1.8г x 100шт), 180г	https://online.metro-cc.ru/products/100shth18g-chay-zelenyy-ahmad-tea-kitayskiy	329		AHMAD TEA
136580	Чай Ahmad Tea English Breakfast черный (2г х 25 пак), 50г	https://online.metro-cc.ru/products/ahmad-tea-chernyj-bajhovyj-melkij-english-breakfast-25-pak	139		AHMAD TEA
607837372	Чай черный Susan цейлонский крупнолистовой, 200г	https://online.metro-cc.ru/products/chay-chernyy-susan-tseylonskiy-krupnolistovoy-200g	359	289	SUSAN
607383290	Чай черный Akbar Лесные ягоды пакетированный (1.5г x 25шт), 38г	https://online.metro-cc.ru/products/25shth15g-chay-chyornyy-akbar-lesnye-yagody-paketirovannyy	79.9	59	AKBAR
289691642	Чай Riston Elite English черный с зеленым листовой, 200г	https://online.metro-cc.ru/products/200g-chay-riston-elite-english-chyornyy-s-zelenym-list	294		RISTON
237429037	Чай Richard Tea №1 черный мята-цитрус (2г х 25шт), 50г	https://online.metro-cc.ru/products/25x2g-chay-richard-kings-tea-1-chyornyy-myatatsitrus	111	99.9	RICHARD
619197	Напиток чайный Konigin Herbarium Ромашка (1.5г х 20шт), 30г	https://online.metro-cc.ru/products/20h15g-nap-konigin-herbarium-romashka	112		KONIGIN HERBARIUM
607844153	Чай черный Ahmad Tea Классический листовой, 500г	https://online.metro-cc.ru/products/500g-chay-chernyy-ahmad-tea-klassicheskiy-listovoy	819		AHMAD TEA
452643	Набор чая Ahmad Tea Four Season's Tea Collection ассорти 15 вкусов (2г х 90шт), 180г	https://online.metro-cc.ru/products/ahmad-tea-nabor-assorti-laquofour-season-rsquos-raquo-15-vkusov-v-kartonnoj-korobke-90-sashe	819		AHMAD TEA
127256	Чай Newby Earl Grey черный листовой, 100г	https://online.metro-cc.ru/products/newby-chernyj-earl-grey-100g	789		NEWBY
607465501	Чай зеленый Newby Сенча листовой, 100г	https://online.metro-cc.ru/products/chay-zelenyy-newby-sencha-listovoy-100g	849		NEWBY
638163	Чай Althaus с жасмином для чайника зеленый (4г x 15шт), 60г	https://online.metro-cc.ru/products/15h4g-althaus-zel-s-zhasminom-dlya-chajnika	879		ALTHAUS
619437	Чай Чёрный дракон зеленый молочный, 100г	https://online.metro-cc.ru/products/100g-chyornyj-drakon-molochnyj-zelenyj	199		ЧЁРНЫЙ ДРАКОН
